model,video_id,comment_count
Radeon RX 7900 XT,-_G6-RDH3EQ,2
RTX 5070 Ti,-nQZr9RF9SQ,554
RTX 3080 Ti,-opIQVX5RUM,2471
RTX 3090,0DKVVtirNM8,2964
RTX 3060 Ti,0RGLISdef6k,123
Radeon RX 6800,1ITdex_JrBM,1532
Radeon RX 9070,2fClSYjOKxM,734
RTX 5070,3nfEkuqNX4k,3886
Radeon RX 9060 XT,3oTMRmxeMMk,200
RTX 3070,3XaOeLPztN4,8729
RTX 3060 Ti,554JXpgWqX0,1820
Radeon RX 580,5b9JqhJI-tw,9
RTX 3080 10GB,5fOpaPPCUDA,1781
RTX 3070,5nxDmoVAHs4,1831
RTX 3080 10GB,5XuoU7ZcdbA,2323
GTX 1060,64VOiNwL5ns,544
Arc A770,6T9d9LM1TwY,30
RTX 3050,6YbapEASeKA,1200
RTX 3050,7-mIllIxD2s,917
Radeon RX Vega 64,79iWkRes6a0,2
RTX 5080,83sFMTN19yM,131
RTX 4070 Ti,9FmjGG6mUAA,316
RTX 3080 12GB,_5yxzkeEDY4,696
Radeon RX 9060 XT,_oV9TKa5wIM,200
RTX 3070 Ti,A-a-wzQPZfs,7541
Arc B580,a38qB5lmFf8,200
RTX 3060,A4l0rOyBDsc,2215
Radeon RX 9060 XT,acE6VJ0ujA4,200
RTX 5060 Ti 8GB,AGBkWeGyUc4,267
RTX 2060,b4Kfrc3kk_c,1417
GTX 1080 Ti,BasEPmEaiOs,45
RTX 5090,BqtRPViQSoU,1520
Arc B570,buJSNbVYxVA,200
RTX 2060,BUxre92zqHY,34
GTX 1660,BvE4XhYq7VE,2
Radeon RX 480,CMi_LAQ5XuE,899
Arc B580,cOEhFe8qYxw,33
RTX 3090 Ti,cS7HFnNMHCw,2629
Arc B580,dboPZUcTAW4,50
Radeon RX 9070,dd64OyMydQA,25
RTX 3090 Ti,DDcA0c-Ahq0,4908
Radeon RX 9070,DEH7IoJFGxs,563
Radeon RX Vega 64,dL4IQ7ca5QY,8
RTX 3080 12GB,dznDjLAGEZA,737
RTX 3050,EDe52jHvvsM,561
Radeon RX Vega 56,F6deRlZm3HM,6
RTX 4070 Ti,FgVVrmoumcw,896
RTX 3090,FqpfYTi43TE,989
Arc B580,fr-ttoXqPF8,143
